[ 2014-10-07T09:12:04+08:00 ] /ak911/ | SQL: SELECT `prem` FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000198s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | SQL: SELECT * FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000334s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | SQL: SELECT `s11` FROM `xt_fee` LIMIT 1   [ RunTime:0.000168s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.007064s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | SQL: SHOW COLUMNS FROM `xt_xiaof` [ RunTime:0.003479s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | SQL: SELECT `id`,`user_id`,`agent_cf`,`re_path` FROM `xt_fck` WHERE is_pay>0 and agent_cf>=5|5|5|5|5  [ RunTime:0.000280s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 146 行.
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Tag[ view_template ] --START--
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001103s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001178s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Tag[ view_parse ] --START--
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013347s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013429s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Tag[ view_filter ] --START--
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Run ContentReplace Behavior [ RunTime:0.000653s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Run TokenBuild Behavior [ RunTime:0.000572s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000421s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000626s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002466s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Tag[ view_end ] --START--
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000554s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000624s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ route_check ] --START--
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Run CheckRoute Behavior [ RunTime:0.000918s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001054s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000698s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000772s ]
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
[ 2014-10-07T09:12:04+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead CommonAction.class.php 第 105 行.
