[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT `user_id`,`password`,`user_type` FROM `xt_fck` WHERE ( `id` = '1' ) AND ( `user_id` = '100000' ) LIMIT 1   [ RunTime:0.000531s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fee` [ RunTime:0.006344s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT `i3` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.008504s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | NOTIC: [8] Undefined index: user_type CommonAction.class.php 第 81 行.
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.008656s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT * FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000924s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT * FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000433s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: UPDATE `xt_fck` SET `day_feng`=0,_times=1413993600 WHERE _times !=1413993600 [ RunTime:0.030328s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | NOTIC: [2] mysql_free_result() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 97 行.
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_bonus` [ RunTime:0.041382s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT SUM(b1) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413993600) AND (`e_date` < 1414080000)  ) LIMIT 1   [ RunTime:0.000328s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT SUM(b2) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413993600) AND (`e_date` < 1414080000)  ) LIMIT 1   [ RunTime:0.000180s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT SUM(b3) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413993600) AND (`e_date` < 1414080000)  ) LIMIT 1   [ RunTime:0.000192s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT SUM(b4) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413993600) AND (`e_date` < 1414080000)  ) LIMIT 1   [ RunTime:0.000198s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT SUM(b5) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413993600) AND (`e_date` < 1414080000)  ) LIMIT 1   [ RunTime:0.000162s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | NOTIC: [2] trim() expects parameter 1 to be string, array given Db.class.php 第 549 行.
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT SUM(b6) AS tp_sum FROM `xt_bonus` WHERE ( `uid` = '1' ) AND ( (`e_date` > 1413993600) AND (`e_date` < 1414080000)  ) LIMIT 1   [ RunTime:0.000308s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT `s2`,`i4`,`str29`,`str4`,`str5`,`str1` FROM `xt_fee` LIMIT 1   [ RunTime:0.000226s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_msg` [ RunTime:0.035248s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT COUNT(*) AS tp_count FROM `xt_msg` WHERE ( `isid` = '1' ) AND ( `s_uid` = '1' ) AND ( `is_read` = 0 ) LIMIT 1   [ RunTime:0.000257s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT `prem` FROM `xt_fck` WHERE ( `id` = '1' ) LIMIT 1   [ RunTime:0.000227s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT * FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000342s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT `s11` FROM `xt_fee` LIMIT 1   [ RunTime:0.000173s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.008444s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SHOW COLUMNS FROM `xt_xiaof` [ RunTime:0.036027s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | SQL: SELECT `id`,`user_id`,`agent_cf`,`re_path` FROM `xt_fck` WHERE is_pay>0 and agent_cf>=5|5|5|5|5  [ RunTime:0.022366s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | NOTIC: [2] Invalid argument supplied for foreach() IndexAction.class.php 第 150 行.
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | NOTIC: [8] Undefined index: language IndexAction.class.php 第 90 行.
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Tag[ view_template ] --START--
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001239s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001345s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Tag[ view_parse ] --START--
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.022465s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.022555s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Tag[ view_filter ] --START--
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000788s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000762s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000554s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000767s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003096s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Tag[ view_end ] --START--
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000738s ]
[ 2014-10-23T09:56:00+08:00 ] /ak911/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000811s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ route_check ] --START--
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Run CheckRoute Behavior [ RunTime:0.000925s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001018s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ app_begin ] --START--
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000914s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000998s ]
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8] Undefined variable: post CommonAction.class.php 第 152 行.
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2] Invalid argument supplied for foreach() CommonAction.class.php 第 152 行.
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [8192] Function eregi() is deprecated CommonAction.class.php 第 160 行.
[ 2014-10-23T09:56:01+08:00 ] /ak911/index.php/Public/News/ | NOTIC: [2] eregi() expects parameter 2 to be string, array given CommonAction.class.php 第 160 行.
