[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: INSERT INTO `xt_history` (`user_id`,`uid`,`action_type`,`pdt`,`epoints`,`bz`,`did`,`type`,`allp`) VALUES ('111','297',11,1412524800,6,11,0,1,0) [ RunTime:0.000532s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: UPDATE xt_fck SET `b11`=b11+6 where `id`=297 [ RunTime:0.000958s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_num_rows(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 132 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_free_result(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 97 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SHOW COLUMNS FROM `xt_fck` [ RunTime:0.011422s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT `str7` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000530s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: UPDATE xt_fck SET `b10`=b10-0.6 where `id`=297 [ RunTime:0.000442s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_num_rows(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 132 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2048] mktime() [<a href='function.mktime'>function.mktime</a>]: You should be using the time() function instead FckModel.class.php 第 89 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | NOTIC: [2] mysql_free_result(): supplied argument is not a valid MySQL result resource DbMysql.class.php 第 97 行.
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: INSERT INTO `xt_history` (`user_id`,`uid`,`action_type`,`pdt`,`epoints`,`bz`,`did`,`type`,`allp`) VALUES ('111','297',10,1412524800,-0.6,10,0,1,0) [ RunTime:0.000484s ]
[ 2014-10-06T00:00:00+08:00 ] /index.php/Test/xxx | SQL: SELECT `s6`,`s13` FROM `xt_fee` WHERE ( `id` = 1 ) LIMIT 1   [ RunTime:0.000314s ]
